synonym,standard_id,type
HCC2935,CVCL_1265,cell
HCC2998,CVCL_1266,cell
HCC3051,CVCL_V582,cell
HCC364,CVCL_5134,cell
HCC366,CVCL_2059,cell
HCC38,CVCL_1267,cell
HCC4006,CVCL_1269,cell
HCC4011,CVCL_S700,cell
HCC4017,CVCL_V579,cell
HCC4018,CVCL_V580,cell
HCC4019,CVCL_V581,cell
HCC44,CVCL_2060,cell
HCC461,CVCL_5135,cell
HCC515,CVCL_5136,cell
HCC56,CVCL_2917,cell
HCC70,CVCL_1270,cell
HCC78,CVCL_2061,cell
HCC827,CVCL_2063,cell
HCC827GR5,CVCL_V622,cell
HCC95,CVCL_5137,cell
HCE-4,CVCL_1271,cell
HCS2,CVCL_2918,cell
HCT 116,CVCL_0291,cell
HCT-116,CVCL_0291,cell
HCT-15,CVCL_0292,cell
HCT-8,CVCL_2478,cell
HCT116,CVCL_0291,cell
HCT15,CVCL_0292,cell
HCT8,CVCL_2478,cell
HD-MY-Z,CVCL_1273,cell
HDLM-2,CVCL_0009,cell
HDMYZ,CVCL_1273,cell
HDQ-P1,CVCL_2067,cell
HDQP1,CVCL_2067,cell
HEC-1,CVCL_1274,cell
HEC-1-A,CVCL_0293,cell
HEC-1-B,CVCL_0294,cell
HEC-108,CVCL_2923,cell
HEC-151,CVCL_2925,cell
HEC-251,CVCL_2927,cell
HEC-265,CVCL_2928,cell
HEC-50B,CVCL_2929,cell
HEC-59,CVCL_2930,cell
HEC-6,CVCL_2931,cell
HEC1,CVCL_1274,cell
HEC108,CVCL_2923,cell
HEC116,CVCL_2924,cell
HEC151,CVCL_2925,cell
HEC1A,CVCL_0293,cell
HEC1B,CVCL_0294,cell
HEC251,CVCL_2927,cell
HEC265,CVCL_2928,cell
HEC50B,CVCL_2929,cell
HEC59,CVCL_2930,cell
HEC6,CVCL_2931,cell
HEC88NU,CVCL_2932,cell
HEK TE,CVCL_WS59,cell
HEK293,CVCL_0045,cell
HEL,CVCL_0001,cell
HEL 92.1.7,CVCL_2481,cell
HEL9217,CVCL_2481,cell
HELA,CVCL_0030,cell
HEP3B,CVCL_0326,cell
HEP3B217,CVCL_0326,cell
HEPG2,CVCL_0027,cell
HEYA8,CVCL_8878,cell
HG3,CVCL_Y547,cell
HGC-27,CVCL_1279,cell
HGC27,CVCL_1279,cell
HH,CVCL_1280,cell
HK-2,CVCL_0302,cell
HKA1,CVCL_2943,cell
HKGZCC,CVCL_E329,cell
HL-60,CVCL_0002,cell
HL60,CVCL_0002,cell
HLC-1,CVCL_5529,cell
HLE,CVCL_1281,cell
HLF,CVCL_2947,cell
HLF-a,CVCL_2255,cell
HLY-1,CVCL_H207,cell
HMC-1-8,CVCL_2949,cell
HMC18,CVCL_2949,cell
HMCB,CVCL_3317,cell
HMEL,CVCL_IZ34,cell
HMV-II,CVCL_1282,cell
HMY1,CVCL_2950,cell
HN30,CVCL_5525,cell
HN31,CVCL_5526,cell
HN5,CVCL_8128,cell
HNT-34,CVCL_2071,cell
HNT34,CVCL_2071,cell
HO-1-N-1,CVCL_1284,cell
HO-1-u-1,CVCL_2784,cell
HOC1,CVCL_5454,cell
HOC7,CVCL_5455,cell
HOC8,CVCL_5456,cell
HOP-62,CVCL_1285,cell
HOP-92,CVCL_1286,cell
HOP62,CVCL_1285,cell
HOP92,CVCL_1286,cell
HOS,CVCL_0312,cell
